Name,Company,Role,Source
Catherine Blish,Deepcell,Advisory Board Member,https://www.businesswire.com/news/home/20210302005437/en/Stanfords-Dr.-Catherine-Blish-Joins-Deepcells-Advisory-Board
Euan Ashley,"Personalis, Inc.",Founder,https://rocketreach.co/euan-ashley-email_1602352
Euan Ashley,"Deepcell, Inc.",Founder,https://investors.dexcom.com/news/news-details/2025/Dexcom-Appoints-Euan-Ashley-to-Board-of-Directors/default.aspx
Euan Ashley,Svexa,Founder & Chairman of the Board,https://rocketreach.co/euan-ashley-email_1602352
Euan Ashley,Saturnus Bio,Founder,https://investors.dexcom.com/news/news-details/2025/Dexcom-Appoints-Euan-Ashley-to-Board-of-Directors/default.aspx
Euan Ashley,Swift Bio,Founder,https://investors.dexcom.com/news/news-details/2025/Dexcom-Appoints-Euan-Ashley-to-Board-of-Directors/default.aspx
Euan Ashley,AstraZeneca,Non-Executive Director,https://rocketreach.co/euan-ashley-email_1602352
Euan Ashley,"Dexcom, Inc.",Board Member (Non-Executive Director),https://investors.dexcom.com/news/news-details/2025/Dexcom-Appoints-Euan-Ashley-to-Board-of-Directors/default.aspx
Jeffrey Curtis,Siensmetrica,Advisory Board Member,https://siensmetrica.com/2025/01/16/siensmetrica-announces-advisory-board/
Maximilian Diehn,Foresight Diagnostics,"Founder, Scientific Advisor & Board Member",https://foresight-dx.com/about-us/
