Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Peter Macklem,"McGill University, Meakins-Christie Laboratories",Founding Director,Research & Education Leadership,1972,1979,https://publications.ersnet.org/content/erj/37/4/735
Peter Macklem,Royal Victoria Hospital (McGill),Physician-in-Chief,Executive Leadership,1979,1987,https://publications.ersnet.org/content/erj/37/4/735
Peter Macklem,"McGill University, Department of Medicine",Chair,Executive Leadership,1980,1985,https://publications.ersnet.org/content/erj/37/4/735
Peter Macklem,Montreal Chest Institute,Physician-in-Chief,Executive Leadership,1987,,https://healthenews.mcgill.ca/peter-t-macklem-1931-2011-2/
Peter Macklem,Canadian Thoracic Society,President,Research & Education Leadership,,,https://www.cdnmedhall.ca/laureates/petermacklem
Peter Macklem,Canadian Society for Clinical Investigation,President,Research & Education Leadership,,,https://www.cdnmedhall.ca/laureates/petermacklem
Peter Macklem,"International Union Against Tuberculosis, International Respiratory Disease Research Unit",Director,Government & Policy Leadership,1985,1996,https://www.cdnmedhall.ca/laureates/petermacklem
Peter Macklem,"Royal Society of Canada, Scientific Policy Committee",Chair,Government & Policy Leadership,1990,,https://www.cdnmedhall.ca/laureates/petermacklem
Randall Urban,University of Texas Medical Branch (UTMB),Vice President and Chief Research Officer,Executive Leadership,2018,,https://blogs.utmb.edu/internalmedicine/divisions/endocrinology/our-team/faculty/randall-j-urban
Randall Urban,UTMB John Sealy School of Medicine,"Vice Dean, Clinical Research",Executive Leadership,2018,,https://blogs.utmb.edu/internalmedicine/divisions/endocrinology/our-team/faculty/randall-j-urban
Randall Urban,"UTMB, Department of Internal Medicine",Chair,Executive Leadership,2005,2018,https://blogs.utmb.edu/internalmedicine/divisions/endocrinology/our-team/faculty/randall-j-urban
Robert Couch,"Baylor College of Medicine, Department of Microbiology and Immunology",Chairman,Executive Leadership,,,https://www.24-7pressrelease.com/press-release/469780/robert-b-couch-md-celebrated-for-dedication-to-the-fields-of-medicine-and-medical-education
Robert Couch,"Baylor College of Medicine, Division of Infectious Diseases",Chief,Executive Leadership,,,https://www.ncbi.nlm.nih.gov/books/NBK43081/
Robert Couch,"Baylor College of Medicine, Influenza Research Center",Director,Research & Education Leadership,,,https://www.24-7pressrelease.com/press-release/469780/robert-b-couch-md-celebrated-for-dedication-to-the-fields-of-medicine-and-medical-education
Robert Couch,"U.S. Public Health Service / NIH, Clinical Virology Section",Head,Government & Policy Leadership,1958,1965,https://www.24-7pressrelease.com/press-release/469780/robert-b-couch-md-celebrated-for-dedication-to-the-fields-of-medicine-and-medical-education
Robert Couch,"U.S.-Japan Cooperative Medical Science Program, Acute Respiratory Disease Panel","Chairman, American Delegation",Government & Policy Leadership,,,https://www.24-7pressrelease.com/press-release/469780/robert-b-couch-md-celebrated-for-dedication-to-the-fields-of-medicine-and-medical-education
Robert Eaton,"U.S. FDA, Medical Devices Advisory Committee",Member,Government & Policy Leadership,2015,,https://www.fda.gov/media/135081/download
